path,keywords,year_min,year_max,n_collected,n_available,task_time_s
immigrant-1820-1824.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1820,1824,13,13,8.393193
immigrant-1825-1829.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1825,1829,40,40,23.20894
immigrant-1830-1834.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1830,1834,17,17,4.68051
immigrant-1835-1839.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1835,1839,513,513,251.691155
immigrant-1840-1844.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1840,1844,1295,1295,753.779623
immigrant-1845-1849.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1845,1849,3622,3622,2179.353561
immigrant-1850-1854.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1850,1854,5000,7952,3024.138309
immigrant-1855-1859.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1855,1859,5000,11702,3166.794594
immigrant-1860-1864.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1860,1864,5000,8315,1036.679854
immigrant-1865-1869.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1865,1869,5000,20300,875.68139
immigrant-1870-1874.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1870,1874,5000,29271,1293.780684
immigrant-1875-1879.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1875,1879,5000,32181,2175.572927
immigrant-1880-1884.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1880,1884,5000,49654,2303.323032
immigrant-1885-1889.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1885,1889,5000,55092,573.887507
immigrant-1890-1894.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1890,1894,5000,77187,541.68467
immigrant-1895-1899.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1895,1899,5000,66839,2142.905165
immigrant-1900-1904.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1900,1904,5000,82741,492.061779
immigrant-1905-1909.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1905,1909,5000,111884,1748.398054
immigrant-1910-1914.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1910,1914,5000,96207,1722.531255
immigrant-1915-1919.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1915,1919,5000,68957,1751.33736
immigrant-1920-1924.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1920,1924,5000,53276,177.017162
immigrant-1925-1929.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1925,1929,4804,4804,2131.488128
immigrant-1930-1934.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1930,1934,4081,4081,1230.26023
immigrant-1935-1939.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1935,1939,3989,3989,918.955259
immigrant-1940-1944.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1940,1944,4767,4767,2635.339486
immigrant-1945-1949.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1945,1949,4504,4504,5.136435
immigrant-1950-1954.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1950,1954,1348,1348,655.77906
immigrant-1955-1959.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1955,1959,446,446,189.092907
immigrant-1960-1960.csv,"['immigrant', 'immigration', 'migrant', 'migration']",1960,1960,27,27,0.063056